РРЦ / актуальні ціни продажу,,,,,,,
SKU,Назва товару,Бренд,Формат,"РРЦ, грн",Дата оновлення,Примітка,Динамічна РРЦ
PKM-JP-MZERO-BLR,Pokémon — Munics Zero — JP — Blister,Pokémon,Blister,"1 600,00 грн",2026-05-06,Перенесено з Товари!J,"1 895,00 грн"
PKM-JP-MDEX-BST,Pokémon — Mega Dream EX — JP — Booster,Pokémon,Booster,"460,00 грн",2026-08-27,РРЦ змінено через owner dashboard: PKM-JP-MDEX-BST; 470 -> 460,"502,00 грн"
PKM-JP-SCEX-BST,Pokémon — Scarlet EX — JP — Booster,Pokémon,Booster,"190,00 грн",2026-08-27,РРЦ змінено через owner dashboard: PKM-JP-SCEX-BST; 180 -> 190,
PKM-JP-MZERO-BST,Pokémon — Munics Zero — JP — Booster,Pokémon,Booster,"160,00 грн",2026-08-27,РРЦ змінено через owner dashboard: PKM-JP-MZERO-BST; 150 -> 160,"77,00 грн"
PKM-JP-MSYM-BST,Pokémon — Mega Symphonia — JP — Booster,Pokémon,Booster,"170,00 грн",2026-08-27,РРЦ змінено через owner dashboard: PKM-JP-MSYM-BST; 160 -> 170,"109,00 грн"
PKM-JP-MZERO-BBX,Pokémon — Munics Zero — JP — Booster Box,Pokémon,Booster Box,"3 600,00 грн",2026-08-19,РРЦ змінено через owner dashboard: PKM-JP-MZERO-BBX; 3900 -> 3600,
OP-JP-V7PR-BST,One Piece — V7 Promo — JP — Booster,One Piece,Booster,"110,00 грн",2026-05-06,Перенесено з Товари!J,"98,00 грн"
OP-JP-OP10-BST,One Piece — OP-10 — JP — Booster,One Piece,Booster,"190,00 грн",2026-08-27,РРЦ змінено через owner dashboard: OP-JP-OP10-BST; 170 -> 190,
PKM-JP-MBRV-BST,Pokémon — Mega Brave — JP — Booster,Pokémon,Booster,"180,00 грн",2026-08-27,РРЦ змінено через owner dashboard: PKM-JP-MBRV-BST; 170 -> 180,
OP-JP-OP07-BST,One Piece — OP-07 — JP — Booster,One Piece,Booster,"170,00 грн",2026-08-27,РРЦ змінено через owner dashboard: OP-JP-OP07-BST; 160 -> 170,
OP-JP-OP11-BST,One Piece — OP-11 — JP — Booster,One Piece,Booster,"180,00 грн",2026-08-27,РРЦ змінено через owner dashboard: OP-JP-OP11-BST; 170 -> 180,"115,00 грн"
OP-JP-EB03-BST,One Piece — EB-03 — JP — Booster,One Piece,Booster,"180,00 грн",2026-08-27,РРЦ змінено через owner dashboard: OP-JP-EB03-BST; 170 -> 180,"142,00 грн"
PKM-JP-SPIN-BST,Pokémon — Ninja Spinner — JP — Booster,Pokémon,Booster,"190,00 грн",2026-08-27,РРЦ змінено через owner dashboard: PKM-JP-SPIN-BST; 180 -> 190,
PKM-KR-HWAK-BBX,Pokémon — Hot Wind Arena — KR — Booster Box,Pokémon,Booster Box,"3 000,00 грн",2026-05-06,,
PKM-KR-SEBK-BBX,Pokémon — Super Electric Breaker — KR — Booster Box,Pokémon,Booster Box,"3 000,00 грн",2026-05-06,,
PKM-JP-PRTB-SET,Pokémon — Premium Trainer Box ex — JP — Collection Set,Pokémon,Collection Set,"3 300,00 грн",2026-05-06,,
OP-JP-OP12-BST,One Piece — OP-12 — JP — Booster,One Piece,Booster,"180,00 грн",2026-08-27,РРЦ змінено через owner dashboard: OP-JP-OP12-BST; 170 -> 180,
OP-JP-OP14-BST,One Piece — OP-14 — JP — Booster,One Piece,Booster,"180,00 грн",2026-08-27,РРЦ змінено через owner dashboard: OP-JP-OP14-BST; 170 -> 180,"139,00 грн"
OP-JP-OP15-BST,One Piece — OP-15 — JP — Booster,One Piece,Booster,"200,00 грн",2026-05-06,,"159,00 грн"
PKM-JP-INFX-BST,Pokémon — Inferno X — JP — Booster,Pokémon,Booster,"220,00 грн",2026-08-27,РРЦ змінено через owner dashboard: PKM-JP-INFX-BST; 210 -> 220,"237,00 грн"
PKM-JP-OUTL-BST,Pokémon — Outlet Mix — JP — Booster,Pokémon,Booster,"80,00 грн",2026-05-14,Оновлено вручну 2026-05-14,"102,00 грн"
YGO-JP-QCAC-BST,Yu-Gi-Oh! — Quarter Century Art Collection — JP — Booster,Yu-Gi-Oh!,Booster,"180,00 грн",2026-08-21,РРЦ змінено через owner dashboard: YGO-JP-QCAC-BST; 100 -> 180,"89,00 грн"
OP-JP-OP08-BST,One Piece — OP-08 — JP — Booster,One Piece,Booster,"170,00 грн",2026-08-27,РРЦ змінено через owner dashboard: OP-JP-OP08-BST; 160 -> 170,"130,00 грн"
OP-JP-OP08-BBX,One Piece — OP-08 — JP — Booster Box,One Piece,Booster Box,"4 500,00 грн",2026-05-06,,
PKM-JP-MIX-MBX,Pokémon — Mystery Mix — JP — Mystery Box,Pokémon,Mystery Box,"700,00 грн",2026-05-06,РРЦ для Pokemon Mystery Box,"709,00 грн"
OP-JP-MIX-MBX,One Piece — Mystery Mix — JP — Mystery Box,One Piece,Mystery Box,"700,00 грн",2026-05-06,РРЦ для One Piece Mystery Box,"701,00 грн"
OP-JP-PRB01-BST,One Piece — PRB-01 — JP — Booster,One Piece,Booster,"210,00 грн",2026-08-27,РРЦ змінено через owner dashboard: OP-JP-PRB01-BST; 200 -> 210,
OP-JP-PRB01-BBX,One Piece — PRB-01 — JP — Booster Box,One Piece,Booster Box,"5 500,00 грн",2026-08-27,РРЦ змінено через owner dashboard: OP-JP-PRB01-BBX; 5000 -> 5500,
OP-JP-OP07-BBX,One Piece — OP-07 — JP — Booster Box,One Piece,Booster Box,"4 700,00 грн",2026-08-27,РРЦ змінено через owner dashboard: OP-JP-OP07-BBX; 4500 -> 4700,
OP-JP-OP10-BBX,One Piece — OP-10 — JP — Booster Box,One Piece,Booster Box,"5 200,00 грн",2026-08-27,РРЦ змінено через owner dashboard: OP-JP-OP10-BBX; 5000 -> 5200,
