n	type	id	sku	3d	status	flag_count	flags	notes	name	slug	mt_len	md_len	body_chars	h2	h3	strong	ul	a	we	passive	ty
1	product	143	ACC-3D-PKM-710	3D	hidden	6	NAME_VS_TITLE NO_HEADING NO_EMPHASIS NO_FAQ PLACEHOLDER SUPERLATIVE	NO_IMAGE HIDDEN	Обертова підставка для грейджених карток — 3D-друк	obertova-pidstavka-dlia-slab-3d-druk	56	133	2420	0	0	0	0	0	1	0	0
2	product	118	FIG-CHARM-001	3D	hidden	5	NO_HEADING NO_EMPHASIS MD_TOO_SHORT THIN_BODY NO_FAQ	HIDDEN	3д СКЮ	FIG-CHARM-001	3	0	9	0	0	0	0	0	0	0	0
3	product	137	ACC-3D-PKM-110	3D	hidden	5	NAME_VS_TITLE NO_HEADING NO_EMPHASIS NO_FAQ SUPERLATIVE	NO_IMAGE HIDDEN	Підставка для карток, мала — 3D-друк	pidstavka-dlia-kartky-v-protektori-3d-druk	58	137	2654	0	0	0	0	0	1	0	0
4	product	138	ACC-3D-PKM-120	3D	hidden	5	NAME_VS_TITLE NO_HEADING NO_EMPHASIS NO_FAQ VOICE_MIXED	NO_IMAGE HIDDEN	Підставка для карток, середня — 3D-друк	pidstavka-dlia-kartky-v-toploaderi-3d-druk	58	138	2689	0	0	0	0	0	1	1	0
5	product	142	ACC-3D-PKM-700	3D	hidden	5	NO_HEADING NO_EMPHASIS NO_FAQ PLACEHOLDER VOICE_MIXED	NO_IMAGE HIDDEN	Обертова підставка для карток у топлоадерах — 3D-друк	obertova-pidstavka-dlia-toploaderiv-3d-druk	59	132	2405	0	0	0	0	0	1	1	0
6	product	125	BR-MEW-100	3D	hidden	4	NO_HEADING NO_EMPHASIS NO_FAQ VOICE_MIXED	NO_IMAGE HIDDEN	Брелок Мью (Pokémon) — 3D-друк	brelok-mew-pokemon-3d-druk	45	139	2189	0	0	0	0	0	1	1	0
7	product	127	BR-SQUIR-100	3D	hidden	4	NO_HEADING NO_EMPHASIS NO_FAQ VOICE_MIXED	NO_IMAGE HIDDEN	Брелок Сквіртл (Pokémon) — 3D-друк	brelok-squirtle-pokemon-3d-druk	49	133	2075	0	0	0	0	0	1	1	0
8	product	129	BR-PIKA-100	3D	hidden	4	NO_HEADING NO_EMPHASIS NO_FAQ VOICE_MIXED	NO_IMAGE HIDDEN	Брелок Пікачу (Pokémon) — 3D-друк	brelok-pikachu-pokemon-3d-druk	48	134	2066	0	0	0	0	0	1	1	0
9	product	130	FIG-ONIX-500	3D	hidden	4	NO_HEADING NO_EMPHASIS NO_FAQ VOICE_MIXED	NO_IMAGE HIDDEN	Фігурка Онікс (Pokémon) — 3D-друк	figurka-onix-pokemon-3d-druk	48	136	2669	0	0	0	0	0	1	1	0
10	product	139	ACC-3D-PKM-130	3D	hidden	4	NAME_VS_TITLE NO_HEADING NO_EMPHASIS NO_FAQ	NO_IMAGE HIDDEN	Підставка для карток, велика — 3D-друк	pidstavka-dlia-kartky-v-mahnitnomu-keisi-3d-druk	53	132	2614	0	0	0	0	0	1	0	0
11	product	140	ACC-3D-PKM-200	3D	hidden	4	NAME_VS_TITLE NO_HEADING NO_EMPHASIS NO_FAQ	NO_IMAGE HIDDEN	Підставка для оцінених PSA карток — 3D-друк	pidstavka-dlia-slab-3d-druk	60	136	2407	0	0	0	0	0	1	0	0
12	product	141	ACC-3D-PKM-300	3D	hidden	4	NAME_VS_TITLE NO_HEADING NO_EMPHASIS NO_FAQ	NO_IMAGE HIDDEN	Підставка для оцінених PSA карток, на ніжці — 3D-друк	pidstavka-dlia-slab-na-nizhtsi-3d-druk	57	128	2559	0	0	0	0	0	1	0	0
13	product	126	BR-CHARM-100	3D	hidden	3	NO_HEADING NO_EMPHASIS NO_FAQ	NO_IMAGE HIDDEN	Брелок Чармандер (Pokémon) — 3D-друк	brelok-charmander-pokemon-3d-druk	51	126	2065	0	0	0	0	0	1	0	0
14	product	128	BR-BULB-100	3D	hidden	3	NO_HEADING NO_EMPHASIS NO_FAQ	NO_IMAGE HIDDEN	Брелок Бульбазавр (Pokémon) — 3D-друк	brelok-bulbasaur-pokemon-3d-druk	52	139	2148	0	0	0	0	0	1	0	0
15	product	131	FIG-GEOD-511	3D	hidden	3	NO_HEADING NO_EMPHASIS NO_FAQ	NO_IMAGE HIDDEN	Фігурка Геодуд (Pokémon) — 3D-друк	figurka-geodude-pokemon-3d-druk	49	131	2709	0	0	0	0	0	1	0	0
16	product	132	FIG-MEW-100	3D	hidden	3	NO_HEADING NO_EMPHASIS NO_FAQ	NO_IMAGE HIDDEN	Фігурка Мью в покеболі (Pokémon) — 3D-друк	figurka-mew-pokeball-pokemon-3d-druk	57	127	2667	0	0	0	0	0	1	0	0
17	product	133	FIG-PKBL-600	3D	hidden	3	NO_HEADING NO_EMPHASIS NO_FAQ	NO_IMAGE HIDDEN	Фігурка-клікер Покебол (Pokémon) — 3D-друк	figurka-kliker-pokeball-pokemon-3d-druk	57	124	2450	0	0	0	0	0	1	0	0
18	product	134	FIG-LUFFY-500	3D	hidden	3	NO_HEADING NO_EMPHASIS NO_FAQ	NO_IMAGE HIDDEN	Фігурка Луффі (One Piece) — 3D-друк	figurka-luffy-one-piece-3d-druk	50	132	2714	0	0	0	0	0	1	0	0
19	product	135	FIG-LUFFY-400	3D	hidden	3	NO_HEADING NO_EMPHASIS NO_FAQ	NO_IMAGE HIDDEN	Панно Луффі (One Piece) — 3D-друк	panno-luffy-one-piece-3d-druk	48	131	2767	0	0	0	0	0	1	0	0
20	product	136	FIG-LUFFY-410	3D	hidden	3	NO_HEADING NO_EMPHASIS NO_FAQ	NO_IMAGE HIDDEN	Картина Луффі (One Piece) — 3D-друк	kartyna-luffy-one-piece-3d-druk	50	124	2625	0	0	0	0	0	1	0	0
21	product	63	PKM-JP-SPIN-BBX	-	visible	8	NAME_VS_TITLE NO_HEADING NO_EMPHASIS MT_TOO_LONG NO_FAQ INTERNAL_VOCAB SUPERLATIVE BATCH_SCOPED		Бустер бокс Pokémon TCG: Ninja Spinner (Японське видання)	Pokemon-booster-box-Ninja-Spinner	68	153	6125	0	0	0	0	0	0	0	0
22	product	78	OP-JP-OP15-BST	-	visible	7	KEY_NOT_IN_BODY NAME_VS_TITLE NO_HEADING NO_EMPHASIS MD_TOO_LONG MT_TOO_LONG NO_FAQ		Бустер One Piece Card Game OP-15 (Японське видання)	One-Piece-Boosters-OP-15	62	156	5233	0	0	0	0	0	0	0	0
23	product	80	OP-JP-OP15-BBX	-	visible	7	NO_HEADING NO_EMPHASIS MD_TOO_LONG MT_TOO_LONG NO_FAQ SUPERLATIVE BATCH_SCOPED		Бустер бокс One Piece TCG: Пригоди на острові богів OP-15 (Японське видання)	OnePiece-booster-box-OP15	91	157	4234	0	0	0	0	0	0	0	0
24	product	89	PKM-JP-SVEX-BLR	-	visible	7	NAME_VS_TITLE NO_HEADING NO_EMPHASIS MD_TOO_LONG MT_TOO_LONG NO_FAQ SUPERLATIVE		Набір Pokémon S&amp;V ex Special Set — Snow Hazard &amp; Clay Burst (Японське видання)	Pokemon-Scarlet-Violet-ex-Special-Set	70	161	4951	0	0	0	0	0	0	0	0
25	product	68	OP-JP-OP10-BST	-	visible	6	NAME_VS_TITLE NO_HEADING NO_EMPHASIS MD_TOO_LONG MT_TOO_LONG NO_FAQ		Бустер One Piece Card Game OP-10 (Японське видання)	One-Piece-Boosters-OP-10	61	160	4810	0	0	0	0	0	0	0	0
26	product	69	OP-JP-OP07-BST	-	visible	6	NAME_VS_TITLE NO_HEADING NO_EMPHASIS MT_TOO_LONG NO_FAQ SUPERLATIVE		Бустер One Piece Card Game OP-07 (Японське видання)	One-Piece-Boosters-OP-07	64	154	4846	0	0	0	0	0	0	0	0
27	product	75	TEST	-	hidden	6	KEY_NOT_IN_BODY NO_HEADING NO_EMPHASIS MD_TOO_SHORT THIN_BODY NO_FAQ	HIDDEN	Тестова позиція - TEST SKU	TEST-SKU	8	0	17	0	0	0	0	0	0	0	0
28	product	83	YGO-JP-QCAC-BST	-	visible	6	NO_HEADING NO_EMPHASIS MT_TOO_LONG NO_FAQ SUPERLATIVE BATCH_SCOPED		Бустер Yu-Gi-Oh! OCG: Quarter Century Art Collection (Японське видання)	Yu-Gi-Oh-boosters-Quarter-Century-Art-Collection	65	150	5650	0	0	0	0	0	0	0	0
29	product	84	OP-JP-OP08-BST	-	visible	6	NO_HEADING NO_EMPHASIS MT_TOO_LONG NO_FAQ SUPERLATIVE BATCH_SCOPED		Бустер One Piece Card Game OP-08 Two Legends (Японське видання)	One-Piece-Boosters-OP-08-Two-Legends	61	144	5256	0	0	0	0	0	0	0	0
30	product	88	PKM-JP-MZERO-BLR	-	visible	6	NO_HEADING NO_EMPHASIS MD_TOO_LONG MT_TOO_LONG NO_FAQ SUPERLATIVE		Набір Pokémon TCG: Special Card Set MEGA Gallade EX (Японське видання)	Pokemon-Mega-Gallade-EX-Special-Set	63	157	5035	0	0	0	0	0	0	0	0
31	product	91	MTG-JP-AFRS-BST	-	visible	6	NO_HEADING NO_EMPHASIS MD_TOO_LONG MT_TOO_LONG NO_FAQ SUPERLATIVE		Бустер MTG: Adventures in the Forgotten Realms (Японське видання)	Magic-the-Gathering-Adventures-in-the-Forgotten-Realms	63	157	6384	0	0	0	0	0	0	0	0
32	product	98	ACC-004	-	visible	6	NAME_VS_TITLE NO_HEADING NO_EMPHASIS MT_TOO_LONG NO_FAQ SUPERLATIVE		Магнітний кейс для карт 35PT	mahnitnyy-keys-kart-35pt	64	123	1983	0	0	0	0	0	0	1	0
33	product	99	ACC-005	-	visible	6	NAME_VS_TITLE NO_HEADING NO_EMPHASIS MT_TOO_LONG NO_FAQ SUPERLATIVE		Акрилова підставка для карток	akrylova-pidstavka-dlya-kart	70	144	1331	0	0	0	0	0	0	0	0
