Розхідники / упаковка,,,,,,,,,,,,,
,,,,,,,,,,,,,
Тип розхідника,Категорія,Собівартість 1 шт,Початково на складі,Початково їде,Надійшло через витрати,Їде через витрати,Використано в продажах,Залишок на складі,Очікується,Вартість залишку,Примітка,,Dropdown для форми продажу
Мала м'яка 14х12 см,Упаковка,"3,60 грн",114,50,0,0,36,78,0,"280,80 грн",Стартовий залишок внесено вручну,,Мала м'яка 14х12 см
Середня м'яка 16х14 см,Упаковка,"10,00 грн",22,0,0,0,20,2,0,"20,00 грн",Стартовий залишок внесено вручну,,Середня м'яка 16х14 см
Велика пакет 17х30 см,Упаковка,"3,20 грн",30,30,0,30,9,21,0,"67,20 грн",Стартовий очікуваний залишок внесено вручну,,Велика пакет 17х30 см
Конверт Airpock 14х22 см,Упаковка,"3,50 грн",0,0,200,0,2,198,0,"693,00 грн",Куплено 200 шт 2026-05-20; статус їде,,Конверт Airpock 14х22 см
Стікер лого+QR,Маркетинг,"1,17 грн",0,0,300,0,42,258,0,"301,00 грн","Автосписання: 1 шт на нове нескасоване замовлення, коли є залишок; використання рахується за аудитом собівартості Продажі!AE.",,One Piece Magazine Vol. 20 без промо-картки
Блайнд-пакет для картки,Маркетинг,"1,32 грн",0,0,37,0,11,26,0,"34,38 грн",Автосписання: 1 шт на нове нескасоване замовлення з SKU -MBX або назвою Mystery Box/Містері; використання рахується за аудитом Продажі!AE.,,Інше
Аніме-брелок поліестер,Маркетинг,"30,26 грн",0,0,1,0,0,1,0,"30,26 грн","Temu PO-208-05847730823033001; маркетинговий розхідник, очікується.",,
Брошки TCG енергії,Маркетинг,"17,96 грн",0,0,9,0,2,7,0,"125,75 грн","Temu PO-208-05847730823033001; маркетинговий розхідник, очікується.",,
Брелок солом'яний капелюх,Маркетинг,"30,26 грн",0,0,2,0,0,2,0,"60,52 грн","Temu PO-208-05847730823033001; маркетинговий розхідник, очікується.",,
Фоторамка One Piece,Маркетинг,"52,96 грн",0,0,2,0,0,2,0,"105,91 грн","Temu PO-208-05847730823033001; 2 шт для One Piece, очікується.",,
Фоторамка Pokémon,Маркетинг,"52,96 грн",0,0,2,0,0,2,0,"105,91 грн","Temu PO-208-05847730823033001; 2 шт для Pokémon, очікується.",,
Наліпка Mystery Box,Маркетинг,"0,77 грн",0,0,100,0,0,100,0,"76,63 грн",Автосписання: 1 шт на нове нескасоване замовлення з SKU -MBX або назвою Mystery Box/Містері; додається до управлінської собівартості після надходження.,,
One Piece Magazine Vol. 20 без промо-картки,Упаковка,"250,00 грн",0,0,1,0,0,1,0,"250,00 грн","1 шт на подарунок до великого замовлення; вибрати у полі паковання, щоб списати залишок і включити 250 грн у собівартість.",,
Наліпка One Piece,Маркетинг,"0,63 грн",0,0,0,50,0,0,50,"0,00 грн","Маркетинговий розхідник; 50 шт закуплено, очікується. Списання вручну або через продажі ще не налаштовано.",,
