Booster Shop CRM - Дашборд,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,SKU,Назва,Виручка,Чистий прибуток,Продано,Статус,Бренд,Формат,Останній продаж
Фільтр місяця,,,,,,,,,,,,,,,,,,,,,,,,,,PKM-JP-MZERO-BLR,Pokémon — Munics Zero — JP — Blister,"0,00 грн","0,00 грн",3,ОК,Pokémon,Blister,2026-06-16
Місяць,2026-07-01,,,,,,,,,,,,,,,,,,,,,,,,,PKM-JP-MDEX-BST,Pokémon — Mega Dream EX — JP — Booster,"0,00 грн","0,00 грн",24,ОК,Pokémon,Booster,2026-06-28
Період від,2026-07-01,,,,,,,,,,,,,,,,,,,,,,,,,PKM-JP-SCEX-BST,Pokémon — Scarlet EX — JP — Booster,"0,00 грн","0,00 грн",10,Немає,Pokémon,Booster,2026-06-07
Період до,2026-07-31,,,,,,,,,,,,,,,,,,,,,,,,,PKM-JP-MZERO-BST,Pokémon — Munics Zero — JP — Booster,"0,00 грн","0,00 грн",20,ОК,Pokémon,Booster,2026-06-11
,,,,,,,,,,,,,,,,,,,,,,,,,,PKM-JP-MSYM-BST,Pokémon — Mega Symphonia — JP — Booster,"0,00 грн","0,00 грн",117,ОК,Pokémon,Booster,2026-06-28
Гроші,,,,Продажі,,,,Склад,,,,,,,,,,,,,,,,,,PKM-JP-MZERO-BBX,Pokémon — Munics Zero — JP — Booster Box,"0,00 грн","0,00 грн",3,Мало,Pokémon,Booster Box,2026-05-26
Вкладено в товар / ПРРО,"192 433,90 грн",,,Кількість замовлень за період,10,,,Одиниць на складі,405,,,,,,,,,,,,,,,,,OP-JP-V7PR-BST,One Piece — V7 Promo — JP — Booster,"0,00 грн","0,00 грн",3,ОК,One Piece,Booster,2026-06-16
Управлінське вкладення в товар,"203 979,93 грн",,,Продано одиниць за період,44,,,SKU на складі,26,,,,,,,,,,,,,,,,,OP-JP-OP10-BST,One Piece — OP-10 — JP — Booster,"0,00 грн","0,00 грн",21,Немає,One Piece,Booster,2026-05-19
Вартість залишків / ПРРО (склад),"49 074,03 грн",,,Середній чек за період,"1 051,25 грн",,,Товари з низьким залишком,4,,,,,,,,,,,,,,,,,PKM-JP-MBRV-BST,Pokémon — Mega Brave — JP — Booster,"0,00 грн","0,00 грн",109,Немає,Pokémon,Booster,2026-06-28
Управлінська вартість залишків (склад),"52 018,47 грн",,,Продажі за обраний місяць,"10 512,50 грн",,,Товари без залишку,38,,,,,,,,,,,,,,,,,OP-JP-OP07-BST,One Piece — OP-07 — JP — Booster,"0,00 грн","0,00 грн",18,Немає,One Piece,Booster,2026-05-06
Виручка за період,"10 512,50 грн",,,"Чистий прибуток за обраний місяць
( з урахуванням неопл. в. та всіх витрат)","3 356,01 грн",,,Заморожені гроші в товарі (склад + очікується),"71 474,73 грн",,,,,,,,,,,,,,,,,OP-JP-OP11-BST,One Piece — OP-11 — JP — Booster,"0,00 грн","0,00 грн",36,Мало,One Piece,Booster,2026-06-29
Валовий прибуток за період,"4 096,53 грн",,,Неоплачена виручка (всього),"4 370,00 грн",,,Потенційна виручка зі складу,"105 675,00 грн",,,,,,,,,,,,,,,,,OP-JP-EB03-BST,One Piece — EB-03 — JP — Booster,"340,00 грн","152,99 грн",4,ОК,One Piece,Booster,2026-07-01
"Прямі витрати продажів за період   (управлінська собівартість з кредитним обслуговуванням, паковання, еквайринг/Нова Пей/маркетплейс, доставка за рахунок магазину)","740,52 грн",,,Продажі за попередній місяць,"40 324,75 грн",,,Потенційний прибуток зі складу,"53 656,53 грн",,,,,,,,,,,,,,,,,PKM-JP-SPIN-BST,Pokémon — Ninja Spinner — JP — Booster,"0,00 грн","0,00 грн",9,ОК,Pokémon,Booster,2026-06-28
"Операційні витрати за період   (модулі OpenCart, хостинг/домен, наліпки; паковання не дублюється)","0,00 грн",,,Прибуток за попередній місяць,"9 697,83 грн",,,Read-only,Так,,,,,,,,,,,,,,,,,PKM-KR-HWAK-BBX,Pokémon — Hot Wind Arena — KR — Booster Box,"0,00 грн","0,00 грн",0,Немає,Pokémon,Booster Box,1899-12-30
Чистий прибуток за період,"3 356,01 грн",,,Період,2026-07,,,,,,,,,,,,,,,,,,,,,PKM-KR-SEBK-BBX,Pokémon — Super Electric Breaker — KR — Booster Box,"0,00 грн","0,00 грн",1,Немає,Pokémon,Booster Box,2026-06-04
Окупність вкладення в товар (всього),"69,9%",,,,,,,,,,,,,,,,,,,,,,,,,PKM-JP-PRTB-SET,Pokémon — Premium Trainer Box ex — JP — Collection Set,"0,00 грн","0,00 грн",1,Немає,Pokémon,Collection Set,2026-05-22
,,,,,,,,,,,,,,,,,,,,,,,,,,OP-JP-OP12-BST,One Piece — OP-12 — JP — Booster,"0,00 грн","0,00 грн",20,Немає,One Piece,Booster,2026-05-09
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Топ за виручкою,,,,,Топ за чистим прибутком,,,,,Топ за кількістю,,,,,,,,,,,,,,,,OP-JP-OP14-BST,One Piece — OP-14 — JP — Booster,"1 140,00 грн","648,72 грн",8,ОК,One Piece,Booster,2026-07-08
#,Товар,SKU,Виручка,,#,Товар,SKU,Чистий прибуток,,#,Товар,SKU,Продано,,,,,,,,,,,,,OP-JP-OP15-BST,One Piece — OP-15 — JP — Booster,"0,00 грн","0,00 грн",1,ОК,One Piece,Booster,2026-06-07
1,Pokémon — Mystery Mix — JP — Mystery Box,PKM-JP-MIX-MBX,"2 737,50 грн",,1,Pokémon — Mystery Mix — JP — Mystery Box,PKM-JP-MIX-MBX,"751,16 грн",,1,Pokémon — Outlet Mix — JP — Booster,PKM-JP-OUTL-BST,222,,,,,,,,,,,,,PKM-JP-INFX-BST,Pokémon — Inferno X — JP — Booster,"0,00 грн","0,00 грн",0,ОК,Pokémon,Booster,2026-03-27
2,Pokémon — Scarlet & Violet ex Special Set — JP — Blister,PKM-JP-SVEX-BLR,"2 100,00 грн",,2,One Piece — OP-14 — JP — Booster,OP-JP-OP14-BST,"648,72 грн",,2,Pokémon — Mega Symphonia — JP — Booster,PKM-JP-MSYM-BST,117,,,,,,,,,,,,,PKM-JP-OUTL-BST,Pokémon — Outlet Mix — JP — Booster,"1 500,00 грн","420,85 грн",222,ОК,Pokémon,Booster,2026-07-08
