Товари,,,,,,,,,,,,,,
SKU,Коротка назва,Повна назва для сайту,Бренд,Мова,Сет,Формат,Карт у бустері,Бустерів у боксі,Поточна ціна продажу,Мінімальний залишок,Активний товар,Посилання на товар,Примітка,Фіксована собівартість
PKM-JP-MZERO-BLR,Pokémon — Munics Zero — JP — Blister,Pokemon JP Munics Zero blister box sealed,Pokémon,JP,Munics Zero,Blister,5,30,"1 700,00 грн",1,Так,,Імпортовано з TCG аукціони / Постачання,
PKM-JP-MDEX-BST,Pokémon — Mega Dream EX — JP — Booster,Pokemon JP Mega Dream EX booster pack sealed,Pokémon,JP,Mega Dream EX,Booster,5,30,"500,00 грн",5,Так,,Імпортовано з TCG аукціони / Постачання,
PKM-JP-SCEX-BST,Pokémon — Scarlet EX — JP — Booster,Pokemon JP Scarlet EX booster pack sealed,Pokémon,JP,Scarlet EX,Booster,5,30,"180,00 грн",5,Так,,Імпортовано з TCG аукціони / Постачання,
PKM-JP-MZERO-BST,Pokémon — Munics Zero — JP — Booster,Pokemon JP Munics Zero booster pack sealed,Pokémon,JP,Munics Zero,Booster,5,30,"150,00 грн",5,Так,,Імпортовано з TCG аукціони / Постачання,
PKM-JP-MSYM-BST,Pokémon — Mega Symphonia — JP — Booster,Pokemon JP Mega SYM booster pack sealed,Pokémon,JP,Mega Symphonia,Booster,5,30,"150,00 грн",5,Так,,Імпортовано з TCG аукціони / Постачання,
PKM-JP-MZERO-BBX,Pokémon — Munics Zero — JP — Booster Box,Pokemon JP Munics Zero booster box sealed,Pokémon,JP,Munics Zero,Booster Box,5,30,"4 000,00 грн",1,Так,,Імпортовано з TCG аукціони / Постачання,
OP-JP-V7PR-BST,One Piece — V7 Promo — JP — Booster,One Piece JP V7-PROMO booster pack sealed,One Piece,JP,V7 Promo,Booster,6,24,"120,00 грн",5,Так,,Імпортовано з TCG аукціони / Постачання,
OP-JP-OP10-BST,One Piece — OP-10 — JP — Booster,One Piece JP OP-10 series booster pack sealed,One Piece,JP,OP-10,Booster,6,24,"190,00 грн",5,Так,,Імпортовано з TCG аукціони / Постачання,
PKM-JP-MBRV-BST,Pokémon — Mega Brave — JP — Booster,Pokemon JP Mega BRAVE booster pack sealed,Pokémon,JP,Mega Brave,Booster,5,30,"170,00 грн",5,Так,,Імпортовано з TCG аукціони / Постачання,
OP-JP-OP07-BST,One Piece — OP-07 — JP — Booster,One Piece JP OP-07 series booster pack sealed,One Piece,JP,OP-07,Booster,6,24,"160,00 грн",5,Так,,Імпортовано з TCG аукціони / Постачання,
OP-JP-OP11-BST,One Piece — OP-11 — JP — Booster,One Piece JP OP-11 series booster pack sealed,One Piece,JP,OP-11,Booster,6,24,"190,00 грн",5,Так,,Імпортовано з TCG аукціони / Постачання,
OP-JP-EB03-BST,One Piece — EB-03 — JP — Booster,One Piece JP EB-03 series booster pack sealed,One Piece,JP,EB-03,Booster,6,24,"170,00 грн",5,Так,,Імпортовано з TCG аукціони / Постачання,
PKM-JP-SPIN-BST,Pokémon — Ninja Spinner — JP — Booster,Pokemon JP Ninja Spinner booster pack sealed,Pokémon,JP,Ninja Spinner,Booster,5,30,"200,00 грн",5,Так,,Імпортовано з TCG аукціони / Постачання,
PKM-KR-HWAK-BBX,Pokémon — Hot Wind Arena — KR — Booster Box,Pokemon KR Hot Wind Arena booster box sealed,Pokémon,KR,Hot Wind Arena,Booster Box,5,30,"3 000,00 грн",1,Так,,Імпортовано з TCG аукціони / Постачання,
PKM-KR-SEBK-BBX,Pokémon — Super Electric Breaker — KR — Booster Box,Pokemon KR Super Electric Breaker booster box sealed,Pokémon,KR,Super Electric Breaker,Booster Box,5,30,"3 000,00 грн",1,Так,,Імпортовано з TCG аукціони / Постачання,
PKM-JP-PRTB-SET,Pokémon — Premium Trainer Box ex — JP — Collection Set,Pokemon JP Scarlet & Violet Premium Trainer Box ex sealed,Pokémon,JP,Premium Trainer Box ex,Collection Set,,,"3 200,00 грн",1,Так,,Імпортовано з TCG аукціони / Постачання,
OP-JP-OP12-BST,One Piece — OP-12 — JP — Booster,One Piece JP OP-12 series booster pack sealed,One Piece,JP,OP-12,Booster,6,24,"200,00 грн",5,Так,,Імпортовано з TCG аукціони / Постачання,
OP-JP-OP14-BST,One Piece — OP-14 — JP — Booster,One Piece JP OP-14 series booster pack sealed,One Piece,JP,OP-14,Booster,6,24,"200,00 грн",5,Так,,Імпортовано з TCG аукціони / Постачання,
OP-JP-OP15-BST,One Piece — OP-15 — JP — Booster,One Piece JP OP-15 series booster pack sealed,One Piece,JP,OP-15,Booster,6,24,"220,00 грн",5,Так,,Імпортовано з TCG аукціони / Постачання,
PKM-JP-INFX-BST,Pokémon — Inferno X — JP — Booster,Pokemon JP Inferno X booster pack sealed,Pokémon,JP,Inferno X,Booster,5,30,"330,00 грн",5,Так,,Додано для історичних продажів з ФОП-файлу,
PKM-JP-OUTL-BST,Pokémon — Outlet Mix — JP — Booster,Pokemon JP Outlet Mix booster pack sealed,Pokémon,JP,Outlet Mix,Booster,5,30,"75,00 грн",5,Так,,Універсальний outlet SKU для sealed японських Pokémon бустерів з Outlet-каналу / партійних залишків. Сет може відрізнятися залежно від поточної наявності.,
YGO-JP-QCAC-BST,Yu-Gi-Oh! — Quarter Century Art Collection — JP — Booster,Yu-Gi-Oh! JP Quarter Century Art Collection booster pack sealed,Yu-Gi-Oh!,JP,Quarter Century Art Collection,Booster,4,15,"120,00 грн",5,Так,,Додано для нової закупки,
OP-JP-OP08-BST,One Piece — OP-08 — JP — Booster,One Piece JP OP-08 series booster pack sealed,One Piece,JP,OP-08,Booster,6,24,"170,00 грн",5,Так,,Додано для нової закупки,
OP-JP-OP08-BBX,One Piece — OP-08 — JP — Booster Box,One Piece JP OP-08 booster box sealed,One Piece,JP,OP-08,Booster Box,6,24,"4 500,00 грн",1,Так,,Додано для нової закупки,
PKM-JP-MIX-MBX,Pokémon — Mystery Mix — JP — Mystery Box,Pokemon JP Mystery Box - 5 random booster packs + 1-2 holo cards,Pokémon,JP,Mystery Mix,Mystery Box,,,"750,00 грн",0,Так,,Внутрішній комплект: 5 random Pokemon boosters + 1-2 holo cards з особистої колекції; бустери списуються через форму продажу.,"450,00 грн"
OP-JP-MIX-MBX,One Piece — Mystery Mix — JP — Mystery Box,One Piece JP Mystery Box - 5 random booster packs + 1-2 holo cards,One Piece,JP,Mystery Mix,Mystery Box,,,"750,00 грн",0,Так,,Внутрішній комплект: 5 random One Piece boosters + 1-2 holo cards з особистої колекції; бустери списуються через форму продажу.,"450,00 грн"
OP-JP-PRB01-BST,One Piece — PRB-01 — JP — Booster,One Piece JP PRB-01 ONE PIECE CARD THE BEST booster pack sealed,One Piece,JP,PRB-01,Booster,6,24,"200,00 грн",5,Так,,Додано для нової закупки: ONE PIECE CARD THE BEST PRB-01,
OP-JP-PRB01-BBX,One Piece — PRB-01 — JP — Booster Box,One Piece JP PRB-01 ONE PIECE CARD THE BEST booster box sealed,One Piece,JP,PRB-01,Booster Box,6,24,"5 000,00 грн",1,Так,,Додано для нової закупки: ONE PIECE CARD THE BEST PRB-01,
OP-JP-OP07-BBX,One Piece — OP-07 — JP — Booster Box,One Piece JP OP-07 booster box sealed,One Piece,JP,OP-07,Booster Box,6,24,"4 500,00 грн",1,Так,,Додано як box SKU для існуючого One Piece booster SKU,
OP-JP-OP10-BBX,One Piece — OP-10 — JP — Booster Box,One Piece JP OP-10 booster box sealed,One Piece,JP,OP-10,Booster Box,6,24,"5 000,00 грн",1,Так,,Додано як box SKU для існуючого One Piece booster SKU,
OP-JP-OP11-BBX,One Piece — OP-11 — JP — Booster Box,One Piece JP OP-11 booster box sealed,One Piece,JP,OP-11,Booster Box,6,24,"5 000,00 грн",1,Так,,Додано як box SKU для існуючого One Piece booster SKU,
OP-JP-EB03-BBX,One Piece — EB-03 — JP — Booster Box,One Piece JP EB-03 booster box sealed,One Piece,JP,EB-03,Booster Box,6,24,"5 000,00 грн",1,Так,,Додано як box SKU для існуючого One Piece booster SKU,
OP-JP-OP12-BBX,One Piece — OP-12 — JP — Booster Box,One Piece JP OP-12 booster box sealed,One Piece,JP,OP-12,Booster Box,6,24,"5 000,00 грн",1,Так,,Додано як box SKU для існуючого One Piece booster SKU,
OP-JP-OP14-BBX,One Piece — OP-14 — JP — Booster Box,One Piece JP OP-14 booster box sealed,One Piece,JP,OP-14,Booster Box,6,24,"5 000,00 грн",1,Так,,Додано як box SKU для існуючого One Piece booster SKU,
