РРЦ / актуальні ціни продажу,,,,,,,
SKU,Назва товару,Бренд,Формат,"РРЦ, грн",Дата оновлення,Примітка,Динамічна РРЦ
PKM-JP-MZERO-BLR,Pokémon — Munics Zero — JP — Blister,Pokémon,Blister,"1 700,00 грн",2026-05-06,Перенесено з Товари!J,"1 202,00 грн"
PKM-JP-MDEX-BST,Pokémon — Mega Dream EX — JP — Booster,Pokémon,Booster,"470,00 грн",2026-05-06,Перенесено з Товари!J,"495,00 грн"
PKM-JP-SCEX-BST,Pokémon — Scarlet EX — JP — Booster,Pokémon,Booster,"170,00 грн",2026-05-06,Перенесено з Товари!J,"135,00 грн"
PKM-JP-MZERO-BST,Pokémon — Munics Zero — JP — Booster,Pokémon,Booster,"150,00 грн",2026-05-06,Перенесено з Товари!J,"98,00 грн"
PKM-JP-MSYM-BST,Pokémon — Mega Symphonia — JP — Booster,Pokémon,Booster,"160,00 грн",2026-05-06,Перенесено з Товари!J,"101,00 грн"
PKM-JP-MZERO-BBX,Pokémon — Munics Zero — JP — Booster Box,Pokémon,Booster Box,"3 900,00 грн",2026-05-06,Перенесено з Товари!J,"3 751,00 грн"
OP-JP-V7PR-BST,One Piece — V7 Promo — JP — Booster,One Piece,Booster,"120,00 грн",2026-05-06,Перенесено з Товари!J,"131,00 грн"
OP-JP-OP10-BST,One Piece — OP-10 — JP — Booster,One Piece,Booster,"190,00 грн",2026-05-06,Перенесено з Товари!J,
PKM-JP-MBRV-BST,Pokémon — Mega Brave — JP — Booster,Pokémon,Booster,"170,00 грн",2026-05-06,Перенесено з Товари!J,"135,00 грн"
OP-JP-OP07-BST,One Piece — OP-07 — JP — Booster,One Piece,Booster,"160,00 грн",2026-05-06,Перенесено з Товари!J,
OP-JP-OP11-BST,One Piece — OP-11 — JP — Booster,One Piece,Booster,"180,00 грн",2026-05-06,Перенесено з Товари!J,"114,00 грн"
OP-JP-EB03-BST,One Piece — EB-03 — JP — Booster,One Piece,Booster,"170,00 грн",2026-05-06,,"125,00 грн"
PKM-JP-SPIN-BST,Pokémon — Ninja Spinner — JP — Booster,Pokémon,Booster,"190,00 грн",2026-05-06,,"112,00 грн"
PKM-KR-HWAK-BBX,Pokémon — Hot Wind Arena — KR — Booster Box,Pokémon,Booster Box,"3 000,00 грн",2026-05-06,,
PKM-KR-SEBK-BBX,Pokémon — Super Electric Breaker — KR — Booster Box,Pokémon,Booster Box,"3 000,00 грн",2026-05-06,,"3 570,00 грн"
PKM-JP-PRTB-SET,Pokémon — Premium Trainer Box ex — JP — Collection Set,Pokémon,Collection Set,"3 200,00 грн",2026-05-06,,"3 776,00 грн"
OP-JP-OP12-BST,One Piece — OP-12 — JP — Booster,One Piece,Booster,"200,00 грн",2026-05-06,,
OP-JP-OP14-BST,One Piece — OP-14 — JP — Booster,One Piece,Booster,"200,00 грн",2026-05-06,,"117,00 грн"
OP-JP-OP15-BST,One Piece — OP-15 — JP — Booster,One Piece,Booster,"210,00 грн",2026-05-06,,"128,00 грн"
PKM-JP-INFX-BST,Pokémon — Inferno X — JP — Booster,Pokémon,Booster,"320,00 грн",2026-05-06,Перенесено з Товари!J,"211,00 грн"
PKM-JP-OUTL-BST,Pokémon — Outlet Mix — JP — Booster,Pokémon,Booster,"75,00 грн",2026-05-14,Оновлено вручну 2026-05-14,"89,00 грн"
YGO-JP-QCAC-BST,Yu-Gi-Oh! — Quarter Century Art Collection — JP — Booster,Yu-Gi-Oh!,Booster,"120,00 грн",2026-05-06,Перенесено з Товари!J,
OP-JP-OP08-BST,One Piece — OP-08 — JP — Booster,One Piece,Booster,"160,00 грн",2026-05-06,,"135,00 грн"
OP-JP-OP08-BBX,One Piece — OP-08 — JP — Booster Box,One Piece,Booster Box,"4 500,00 грн",2026-05-06,,
PKM-JP-MIX-MBX,Pokémon — Mystery Mix — JP — Mystery Box,Pokémon,Mystery Box,"750,00 грн",2026-05-06,РРЦ для Pokemon Mystery Box,"692,00 грн"
OP-JP-MIX-MBX,One Piece — Mystery Mix — JP — Mystery Box,One Piece,Mystery Box,"750,00 грн",2026-05-06,РРЦ для One Piece Mystery Box,"707,00 грн"
OP-JP-PRB01-BST,One Piece — PRB-01 — JP — Booster,One Piece,Booster,"200,00 грн",,,
OP-JP-PRB01-BBX,One Piece — PRB-01 — JP — Booster Box,One Piece,Booster Box,"5 000,00 грн",,,
OP-JP-OP07-BBX,One Piece — OP-07 — JP — Booster Box,One Piece,Booster Box,"4 500,00 грн",,,
OP-JP-OP10-BBX,One Piece — OP-10 — JP — Booster Box,One Piece,Booster Box,"5 000,00 грн",,,
OP-JP-OP11-BBX,One Piece — OP-11 — JP — Booster Box,One Piece,Booster Box,"5 000,00 грн",,,
OP-JP-EB03-BBX,One Piece — EB-03 — JP — Booster Box,One Piece,Booster Box,"5 000,00 грн",,,
