Склад,,,,,,,,,,,,,,,,,,,
SKU,Назва товару,Категорія / бренд,Формат,Закуплено,Продано,Списано,Залишок,Середня собівартість / ПРРО,Середня управлінська собівартість,Вартість залишку / ПРРО,Управлінська вартість залишку,Потенційна виручка,Потенційний прибуток,Мінімальний залишок,Статус залишку,Очікується / Японія,Закуплено всього,Передзамовлено / резерв,Очікується після резерву
PKM-JP-MZERO-BLR,Pokémon — Munics Zero — JP — Blister,Pokémon,Blister,5,3,0,2,"1 210,63 грн","1 283,27 грн","2 421,26 грн","2 566,54 грн","3 400,00 грн","833,46 грн",1,ОК,2,9,0,2
PKM-JP-MDEX-BST,Pokémon — Mega Dream EX — JP — Booster,Pokémon,Booster,30,24,1,5,"314,18 грн","333,03 грн","1 570,90 грн","1 665,15 грн","2 350,00 грн","684,85 грн",5,Мало,0,30,0,0
PKM-JP-SCEX-BST,Pokémon — Scarlet EX — JP — Booster,Pokémon,Booster,20,10,10,0,"88,10 грн","93,39 грн","0,00 грн","0,00 грн","0,00 грн","0,00 грн",5,Немає,0,20,0,0
PKM-JP-MZERO-BST,Pokémon — Munics Zero — JP — Booster,Pokémon,Booster,108,20,52,36,"41,07 грн","43,53 грн","1 478,52 грн","1 567,08 грн","5 400,00 грн","3 832,92 грн",5,ОК,0,108,0,0
PKM-JP-MSYM-BST,Pokémon — Mega Symphonia — JP — Booster,Pokémon,Booster,155,117,21,17,"57,25 грн","60,68 грн","973,25 грн","1 031,56 грн","2 720,00 грн","1 688,44 грн",5,ОК,30,185,0,30
PKM-JP-MZERO-BBX,Pokémon — Munics Zero — JP — Booster Box,Pokémon,Booster Box,5,3,0,2,"2 355,94 грн","2 497,30 грн","4 711,88 грн","4 994,60 грн","7 800,00 грн","2 805,40 грн",1,ОК,0,5,0,0
OP-JP-V7PR-BST,One Piece — V7 Promo — JP — Booster,One Piece,Booster,36,3,12,21,"62,57 грн","66,32 грн","1 313,97 грн","1 392,72 грн","2 520,00 грн","1 127,28 грн",5,ОК,0,36,0,0
OP-JP-OP10-BST,One Piece — OP-10 — JP — Booster,One Piece,Booster,24,21,3,0,"79,24 грн","83,99 грн","0,00 грн","0,00 грн","0,00 грн","0,00 грн",5,Немає,0,24,0,0
PKM-JP-MBRV-BST,Pokémon — Mega Brave — JP — Booster,Pokémon,Booster,153,109,14,30,"90,50 грн","95,93 грн","2 715,00 грн","2 877,90 грн","5 100,00 грн","2 222,10 грн",5,ОК,0,153,0,0
OP-JP-OP07-BST,One Piece — OP-07 — JP — Booster,One Piece,Booster,24,18,6,0,"72,54 грн","76,89 грн","0,00 грн","0,00 грн","0,00 грн","0,00 грн",5,Немає,0,24,0,0
OP-JP-OP11-BST,One Piece — OP-11 — JP — Booster,One Piece,Booster,48,36,8,4,"72,54 грн","76,89 грн","290,16 грн","307,56 грн","720,00 грн","412,44 грн",5,Мало,0,48,0,0
