sku,attribute,value
FIG-ZORO-410,Вікове позиціонування,14+
FIG-ZORO-410,Колір,чорний
FIG-ZORO-410,Комплектація,1 картина на підставці
FIG-ZORO-410,Країна виготовлення,Україна
FIG-ZORO-410,Маса,"орієнтовно 30,9 г"
FIG-ZORO-410,Може трапитись у Mystery Box,Так
FIG-ZORO-410,Призначення,декоративний / колекційний виріб
FIG-ZORO-410,Розміри,165×164×40 мм
FIG-ZORO-410,Рухомі елементи,немає
FIG-ZORO-410,Спосіб виготовлення,пошаровий 3D-друк
FIG-ZORO-410,Тип виробу,картина
FIG-ZORO-410,Типовий строк виготовлення при відсутності на складі,1–2 робочих дні
FIG-LUFFY-411,Вікове позиціонування,14+
FIG-LUFFY-411,Колір,чорний
FIG-LUFFY-411,Комплектація,1 картина
FIG-LUFFY-411,Країна виготовлення,Україна
FIG-LUFFY-411,Маса,"орієнтовно 36,85 г"
FIG-LUFFY-411,Може трапитись у Mystery Box,Так
FIG-LUFFY-411,Призначення,декоративний / колекційний виріб
FIG-LUFFY-411,Розміри,"216×215×1,5 мм"
FIG-LUFFY-411,Рухомі елементи,немає
FIG-LUFFY-411,Спосіб виготовлення,пошаровий 3D-друк
FIG-LUFFY-411,Тип виробу,картина
FIG-LUFFY-411,Типовий строк виготовлення при відсутності на складі,1–2 робочих дні
FIG-CHARZ-200,Вікове позиціонування,14+
FIG-CHARZ-200,Комплектація,1 фігурка
FIG-CHARZ-200,Країна виготовлення,Україна
FIG-CHARZ-200,Маса,"орієнтовно 31,94 г"
FIG-CHARZ-200,Може трапитись у Mystery Box,Так
FIG-CHARZ-200,Призначення,декоративний / колекційний виріб
FIG-CHARZ-200,Розміри,93×95×78 мм
FIG-CHARZ-200,Рухомі елементи,немає
FIG-CHARZ-200,Спосіб виготовлення,пошаровий 3D-друк
FIG-CHARZ-200,Тип виробу,фігурка
FIG-CHARZ-200,Типовий строк виготовлення при відсутності на складі,1–2 робочих дні
FIG-NAMI-200,Вікове позиціонування,14+
FIG-NAMI-200,Комплектація,1 фігурка
FIG-NAMI-200,Країна виготовлення,Україна
FIG-NAMI-200,Маса,"орієнтовно 27,99 г"
FIG-NAMI-200,Може трапитись у Mystery Box,Так
FIG-NAMI-200,Призначення,декоративний / колекційний виріб
FIG-NAMI-200,Розміри,65×47×75 мм
FIG-NAMI-200,Рухомі елементи,немає
FIG-NAMI-200,Спосіб виготовлення,пошаровий 3D-друк
FIG-NAMI-200,Тип виробу,фігурка
FIG-NAMI-200,Типовий строк виготовлення при відсутності на складі,1–2 робочих дні
BR-DITTO-400,Вікове позиціонування,14+
BR-DITTO-400,Комплектація,1 брелок із металевою фурнітурою
BR-DITTO-400,Країна виготовлення,Україна
BR-DITTO-400,Маса,"орієнтовно 11,52 г (без фурнітури)"
BR-DITTO-400,Матеріал фурнітури,метал
BR-DITTO-400,Може трапитись у Mystery Box,Так
BR-DITTO-400,Розміри,47×47×10 мм
BR-DITTO-400,Рухомі елементи,"є, обертова fidget-механіка"
BR-DITTO-400,Спосіб виготовлення,пошаровий 3D-друк
BR-DITTO-400,Тип виробу,брелок-спінер
BR-DITTO-400,Типовий строк виготовлення при відсутності на складі,1–2 робочих дні
BR-OPSHP-100,Вікове позиціонування,14+
BR-OPSHP-100,Колір,чорний з білим рельєфом
BR-OPSHP-100,Комплектація,1 брелок із металевою фурнітурою
BR-OPSHP-100,Країна виготовлення,Україна
BR-OPSHP-100,Маса,"орієнтовно 16,97 г (без фурнітури)"
